id,name,manufacturer,image_url,score
57141dbe-24ca-4614-a912-1c44cc1cbbb3,"ﾉﾝﾗﾃｯｸｽ ﾃﾞﾝﾀﾙﾀﾞﾑ ﾊﾟｰﾌﾟﾙ 6ｲﾝﾁ 29333","ｼｰｱｲ","https://shop.r10s.jp/d-fit/cabinet/itemimg/29333_sam.jpg",55
8cb80b40-930b-4fed-94b0-8493c5d61eb6,"ﾉﾝﾗﾃｯｸｽ ﾃﾞﾝﾀﾙﾀﾞﾑ ﾊﾟｰﾌﾟﾙ 6ｲﾝﾁ 29333","ｼｰｱｲ","https://shop.r10s.jp/d-fit/cabinet/itemimg/29333_sam.jpg",55
391a83fb-cd8e-4761-8325-e14108664013,"ﾊﾞｷｭｰﾑﾁｯﾌﾟ ｽﾀﾝﾀﾞｰﾄﾞ 10個　12390","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-11710/series-11710_02.jpg",80
54cea9ec-dcfb-467a-8217-2c5e631f2701,"ﾊﾞｷｭｰﾑﾁｯﾌﾟ ｽﾀﾝﾀﾞｰﾄﾞ 10個　12390","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-11710/series-11710_02.jpg",80
d3e727e0-5011-4821-9479-edfd4a180eab,"ﾊﾟﾉﾗﾏﾊﾞｲﾄﾌﾞﾛｯｸｶﾊﾞｰ300枚入り　17103","ｼｰｱｲ","https://m.media-amazon.com/images/I/81-W7kweoiL._SL1500_.jpg",74
ba07cd4f-c1c2-4dbb-a084-4f3685fb5612,"ﾊﾞﾘｱﾌｨﾙﾑ ﾘﾌｨﾙ ﾌﾞﾙｰ　9260","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4582196109706/4582196109706_1.jpg",55
f238afa5-9e25-42de-b862-9dac72447293,"ﾊﾞﾘｱﾌｨﾙﾑ ﾘﾌｨﾙ ﾌﾞﾙｰ　9260","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4582196109706/4582196109706_1.jpg",55
430f4f53-87c7-4dfc-aa80-b4ccb5a8082a,"ﾊﾟﾙｽｵｷｼﾒｰﾀｰ POD-1 ﾎﾜｲﾄ×ﾗﾍﾞﾝﾀﾞｰ　104275","ｼｰｱｲ","https://m.media-amazon.com/images/I/31qckKi2v3L.jpg",75
1884c726-5216-4940-999a-aae289ec0c84,"ﾊﾟﾙｽｵｷｼﾒｰﾀｰ POD-1 ﾎﾜｲﾄ×ﾗﾍﾞﾝﾀﾞｰ　104275","ｼｰｱｲ","https://m.media-amazon.com/images/I/31qckKi2v3L.jpg",75
65cab22b-7b11-4ba0-b55a-8590ab95260a,"ﾊﾞﾝﾄﾞﾏﾄﾘｯｸｽ#1","ｼｰｱｲ","http://technika.co.jp/cdn/shop/files/0306170013_65e8228de62ce.png?v=1721902108",55
83f5807c-5dcf-41b4-8bbe-94aade9b66e0,"ﾊﾞﾝﾄﾞﾏﾄﾘｯｸｽ#1","ｼｰｱｲ","http://technika.co.jp/cdn/shop/files/0306170013_65e8228de62ce.png?v=1721902108",55
7ee8761d-d9b8-4d98-9461-9313e7ff748e,"ﾊﾞﾝﾄﾞﾏﾄﾘｯｸｽ#1　111581","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-11265/series-11265_02.jpg",80
8577583d-02d0-4242-9e9c-5d78a23a893b,"ﾊﾞﾝﾄﾞﾏﾄﾘｯｸｽ#1　111581","ｼｰｱｲ","https://shop.pdr.co.jp/g_images/series-11265/series-11265_02.jpg",80
ced3be56-d7cd-44db-a99b-d267526eb5b9,"ﾋﾞｯｸﾞｼﾘｺﾝﾎﾟｲﾝﾄ HP ｴｸｽﾄﾗｺｰｽ 12本　33968","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4548162041814/4548162041814_1.jpg",55
81a7597b-ee96-4650-8bc4-9dcfaabd15a0,"ﾋﾞｯｸﾞｼﾘｺﾝﾎﾟｲﾝﾄ HP ｴｸｽﾄﾗｺｰｽ 12本　33968","ｼｰｱｲ","https://d15ihgh2blymmz.cloudfront.net/uploads/item_image/4548162041814/4548162041814_1.jpg",55
d249a80a-4564-4c58-94ba-1135505db438,"ﾋﾞｯｸﾞｼﾘｺﾝﾎﾟｲﾝﾄ HP ｺｰｽ 12本　32109","ｼｰｱｲ","https://shop.r10s.jp/genki-sokai/cabinet/m_y050000-y054999/s_3200/y053224-000-000.jpg",55
